Feature,Mean_Absolute_SHAP
hour_cos,1463.4154284035692
hour,439.69493376097336
hour_sin,190.00044538675218
day_of_week,139.688540985285
day_sin,127.74583609030378
is_weekend,126.50651682873057
temp_scaled,115.24104627986203
day_cos,60.91543767231383
clouds_all,36.80939505315862
weather_Clouds,13.42645408886345
rain_scaled,8.507470719716151
weather_Snow,8.253969593430325
weather_Mist,8.117122458669943
weather_Clear,4.816405907849039
weather_Rain,3.8530142694655725
weather_Fog,3.271511770254387
weather_Haze,2.4135276200712883
weather_Thunderstorm,1.7986469541744545
weather_Drizzle,1.359783217615929
snow_1h,0.49157536099834415
is_holiday,0.32990050929913506
weather_Squall,0.014309793106736217
weather_Smoke,0.009902614661441893
